state,district,applications,installations,inspection_approved,subsidy_released,subsidy_redeemed,conversion_rate_pct
TAMIL NADU,Vellore,1219.0,874.0,846.0,823.0,839.0,71.69811320754717
TAMIL NADU,Viluppuram,961.0,609.0,555.0,538.0,551.0,63.371488033298654
TAMIL NADU,Virudhunagar,1794.0,1490.0,1442.0,1405.0,1434.0,83.0546265328874
TELANGANA,Adilabad,1344.0,830.0,802.0,761.0,799.0,61.75595238095239
TELANGANA,BHADRADRI KOTHAGUDEM,3744.0,1379.0,1310.0,1205.0,1260.0,36.83226495726496
TELANGANA,HANUMAKONDA,4450.0,1449.0,1406.0,1340.0,1379.0,32.56179775280899
TELANGANA,Hyderabad,3997.0,2318.0,2218.0,2147.0,2183.0,57.99349512134101
TELANGANA,Jagitial,705.0,281.0,264.0,232.0,257.0,39.858156028368796
TELANGANA,JANGOAN,453.0,186.0,166.0,158.0,161.0,41.05960264900662
TELANGANA,JAYASHANKAR BHUPALAPALLY,1082.0,167.0,143.0,137.0,139.0,15.434380776340111
TELANGANA,JOGULAMBA GADWAL,224.0,86.0,78.0,74.0,76.0,38.392857142857146
TELANGANA,KAMAREDDY,433.0,168.0,146.0,136.0,140.0,38.799076212471135
TELANGANA,Karimnagar,3549.0,1454.0,1406.0,1316.0,1358.0,40.96928712313328
TELANGANA,Khammam,16745.0,2156.0,1865.0,1735.0,1812.0,12.8754852194685
TELANGANA,KUMURAM BHEEM ASIFABAD,303.0,85.0,78.0,73.0,74.0,28.052805280528055
TELANGANA,MAHABUBABAD,677.0,200.0,183.0,166.0,178.0,29.542097488921716
TELANGANA,Mahbubnagar,1091.0,287.0,271.0,254.0,264.0,26.306141154903756
TELANGANA,MANCHERIAL,3435.0,755.0,703.0,665.0,692.0,21.97962154294032
TELANGANA,Medak,290.0,118.0,112.0,105.0,108.0,40.689655172413794
TELANGANA,MEDCHAL MALKAJGIRI,7697.0,4357.0,4069.0,3977.0,4023.0,56.60647005326751
TELANGANA,Mulugu,358.0,6.0,5.0,5.0,5.0,1.675977653631285
TELANGANA,NAGARKURNOOL,922.0,589.0,560.0,501.0,524.0,63.882863340563986
TELANGANA,Nalgonda,1906.0,1043.0,964.0,933.0,953.0,54.72193074501573
TELANGANA,Narayanpet,126.0,29.0,27.0,25.0,25.0,23.015873015873016
TELANGANA,Nirmal,484.0,237.0,224.0,212.0,218.0,48.96694214876033
TELANGANA,Nizamabad,2176.0,1223.0,1140.0,1078.0,1116.0,56.20404411764706
TELANGANA,PEDDAPALLI,2227.0,396.0,378.0,356.0,366.0,17.781769196228108
TELANGANA,RAJANNA SIRCILLA,253.0,115.0,106.0,92.0,98.0,45.45454545454545
TELANGANA,RANGA REDDY,7843.0,4653.0,4284.0,4129.0,4216.0,59.32678821879382
TELANGANA,SANGAREDDY,1899.0,991.0,944.0,915.0,933.0,52.18536071616641
TELANGANA,SIDDIPET,754.0,371.0,351.0,341.0,347.0,49.20424403183024
TELANGANA,SURYAPET,1798.0,1063.0,1006.0,959.0,985.0,59.121245828698555
TELANGANA,VIKARABAD,1423.0,216.0,80.0,74.0,76.0,15.1791988756149
TELANGANA,WANAPARTHY,315.0,115.0,98.0,92.0,98.0,36.507936507936506
TELANGANA,WARANGAL,1607.0,704.0,670.0,644.0,662.0,43.80833851897947
TELANGANA,YADADRI BHUVANAGIRI,609.0,188.0,179.0,176.0,176.0,30.870279146141215
THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,Dadra and Nagar Haveli,570.0,176.0,137.0,120.0,124.0,30.87719298245614
THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,Daman,1306.0,279.0,274.0,267.0,270.0,21.362940275650843
THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,Diu,169.0,104.0,100.0,98.0,100.0,61.53846153846154
TRIPURA,Dhalai,682.0,67.0,65.0,57.0,61.0,9.824046920821115
TRIPURA,Gomati,812.0,172.0,148.0,127.0,141.0,21.182266009852217
TRIPURA,Khowai,295.0,73.0,64.0,61.0,63.0,24.74576271186441
TRIPURA,North Tripura,726.0,69.0,66.0,56.0,63.0,9.50413223140496
TRIPURA,Sepahijala,363.0,129.0,126.0,118.0,123.0,35.53719008264463
TRIPURA,South Tripura,613.0,182.0,174.0,157.0,163.0,29.690048939641112
TRIPURA,Unakoti,441.0,80.0,76.0,60.0,74.0,18.140589569160998
TRIPURA,West Tripura,4448.0,1438.0,1402.0,1285.0,1339.0,32.32913669064748
UTTARAKHAND,Almora,1546.0,979.0,967.0,923.0,955.0,63.32470892626132
UTTARAKHAND,Bageshwar,416.0,244.0,227.0,218.0,224.0,58.65384615384615
UTTARAKHAND,Chamoli,706.0,327.0,307.0,291.0,307.0,46.317280453257794
UTTARAKHAND,Champawat,1532.0,1116.0,1061.0,965.0,1042.0,72.84595300261097
UTTARAKHAND,Dehradun,32449.0,22330.0,21484.0,20107.0,21194.0,68.81567999013836
UTTARAKHAND,HARIDWAR,17410.0,9318.0,8804.0,7995.0,8672.0,53.52096496266513
UTTARAKHAND,Nainital,15212.0,10897.0,10588.0,10093.0,10463.0,71.63423612937156
UTTARAKHAND,Pauri Garhwal,6478.0,4572.0,4457.0,4123.0,4379.0,70.57733868477925
UTTARAKHAND,Pithoragarh,1022.0,707.0,679.0,634.0,666.0,69.17808219178082
UTTARAKHAND,Rudraprayag,154.0,99.0,97.0,93.0,96.0,64.28571428571429
UTTARAKHAND,Tehri Garhwal,2308.0,1497.0,1472.0,1392.0,1448.0,64.86135181975736
UTTARAKHAND,Udham Singh Nagar,22164.0,12238.0,11737.0,10970.0,11568.0,55.215665042411125
UTTARAKHAND,Uttarkashi,1196.0,545.0,541.0,446.0,486.0,45.5685618729097
UTTAR PRADESH,Agra,34516.0,13177.0,12033.0,11607.0,11881.0,38.176497856066746
UTTAR PRADESH,Aligarh,9835.0,5374.0,5223.0,4815.0,4990.0,54.64158617183528
UTTAR PRADESH,Ambedkar Nagar,6934.0,3118.0,2978.0,2742.0,2904.0,44.966830112489184
UTTAR PRADESH,Amethi,6311.0,2686.0,2568.0,2405.0,2514.0,42.56060846141658
UTTAR PRADESH,Amroha,11475.0,831.0,733.0,635.0,695.0,7.241830065359476
UTTAR PRADESH,Auraiya,7600.0,1872.0,1811.0,1670.0,1765.0,24.63157894736842
UTTAR PRADESH,AYODHYA,9567.0,4518.0,4253.0,4008.0,4156.0,47.22483537158984
UTTAR PRADESH,Azamgarh,10750.0,2369.0,2309.0,2170.0,2257.0,22.037209302325582
UTTAR PRADESH,Baghpat,3261.0,972.0,951.0,894.0,931.0,29.80680772769089
UTTAR PRADESH,Bahraich,6185.0,2395.0,2327.0,2140.0,2246.0,38.72271624898949
UTTAR PRADESH,Ballia,7560.0,997.0,983.0,908.0,950.0,13.187830687830687
UTTAR PRADESH,Balrampur,3240.0,894.0,864.0,804.0,842.0,27.59259259259259
UTTAR PRADESH,Banda,3976.0,1673.0,1616.0,1573.0,1598.0,42.07746478873239
UTTAR PRADESH,Bara Banki,12429.0,7552.0,7343.0,7019.0,7240.0,60.76112317966047
UTTAR PRADESH,Bareilly,28896.0,15813.0,15344.0,13961.0,14634.0,54.72383720930233
UTTAR PRADESH,BASTI,6886.0,1924.0,1821.0,1666.0,1764.0,27.940749346500144
UTTAR PRADESH,BHADOHI,3666.0,1067.0,1012.0,816.0,955.0,29.105291871249317
UTTAR PRADESH,Bijnor,25216.0,3369.0,3233.0,3075.0,3177.0,13.360564720812182
